Campaign,Ad Group,Keyword,Match Type
PT · alentejo,,Covilhã,Phrase
PT · alentejo,,Câmara de Lobos,Phrase
PT · alentejo,,Estoril,Phrase
PT · alentejo,,Faro,Phrase
PT · alentejo,,Figueira da Foz,Phrase
PT · alentejo,,Funchal,Phrase
PT · alentejo,,Fundão,Phrase
PT · alentejo,,Golegã,Phrase
PT · alentejo,,Grândola,Phrase
PT · alentejo,,Guarda,Phrase
PT · alentejo,,Guimarães,Phrase
PT · alentejo,,Horta,Phrase
PT · alentejo,,Lagos,Phrase
PT · alentejo,,Lamego,Phrase
PT · alentejo,,Leiria,Phrase
PT · alentejo,,Lisboa,Phrase
PT · alentejo,,Loulé,Phrase
PT · alentejo,,Macedo de Cavaleiros,Phrase
PT · alentejo,,Mafra,Phrase
PT · alentejo,,Manteigas,Phrase
PT · alentejo,,Matosinhos,Phrase
PT · alentejo,,Mealhada,Phrase
PT · alentejo,,Melides,Phrase
PT · alentejo,,Mirandela,Phrase
PT · alentejo,,Nazaré,Phrase
PT · alentejo,,Oeiras,Phrase
PT · alentejo,,Peniche,Phrase
PT · alentejo,,Peso da Régua,Phrase
PT · alentejo,,Ponta Delgada,Phrase
PT · alentejo,,Ponta do Sol,Phrase
PT · alentejo,,Ponte de Lima,Phrase
PT · alentejo,,Portimão,Phrase
PT · alentejo,,Porto,Phrase
PT · alentejo,,Porto Santo,Phrase
PT · alentejo,,Praia da Vitória,Phrase
PT · alentejo,,Ribeira Grande,Phrase
PT · alentejo,,Santa Cruz,Phrase
PT · alentejo,,Santarém,Phrase
PT · alentejo,,Setúbal,Phrase
PT · alentejo,,Sintra,Phrase
PT · alentejo,,Tavira,Phrase
PT · alentejo,,Tomar,Phrase
PT · alentejo,,Torres Novas,Phrase
PT · alentejo,,Troia,Phrase
PT · alentejo,,Viana do Castelo,Phrase
PT · alentejo,,Vila Nova de Gaia,Phrase
PT · alentejo,,Vila Real,Phrase
PT · alentejo,,Vilamoura,Phrase
PT · alentejo,,Viseu,Phrase
PT · alentejo,,Águeda,Phrase
PT · alentejo,,Óbidos,Phrase
